,Date,Phase,Team_home,Team_home_short,Team_visitor,Team_visitor_short,World_Cup,Team_home_penalties_score,Team_visitor_penalties_score,Team_home_score,Team_visitor_score,Result,Result_with_penalties
115,2010-06-27,Round of 16,Argentina,ARG,Mexico,MEX,SouthAfrica-2010,0,0,3,1,Win,Win
116,2010-06-28,Round of 16,Netherlands,NED,Slovakia,SVK,SouthAfrica-2010,0,0,2,1,Win,Win
117,2010-06-28,Round of 16,Brazil,BRA,Chile,CHI,SouthAfrica-2010,0,0,3,0,Win,Win
118,2010-06-29,Round of 16,Paraguay,PAR,Japan,JPN,SouthAfrica-2010,5,3,0,0,Draw,Win
119,2010-06-29,Round of 16,Spain,ESP,Portugal,POR,SouthAfrica-2010,0,0,1,0,Win,Win
120,2010-07-02,Quarter-finals,Netherlands,NED,Brazil,BRA,SouthAfrica-2010,0,0,2,1,Win,Win
121,2010-07-02,Quarter-finals,Uruguay,URU,Ghana,GHA,SouthAfrica-2010,4,2,1,1,Draw,Win
122,2010-07-03,Quarter-finals,Argentina,ARG,Germany,GER,SouthAfrica-2010,0,0,0,4,Loss,Loss
123,2010-07-03,Quarter-finals,Paraguay,PAR,Spain,ESP,SouthAfrica-2010,0,0,0,1,Loss,Loss
124,2010-07-06,Semi-finals,Uruguay,URU,Netherlands,NED,SouthAfrica-2010,0,0,2,3,Loss,Loss
125,2010-07-07,Semi-finals,Germany,GER,Spain,ESP,SouthAfrica-2010,0,0,0,1,Loss,Loss
126,2010-07-10,Match for third place,Uruguay,URU,Germany,GER,SouthAfrica-2010,0,0,2,3,Loss,Loss
127,2010-07-11,Final,Netherlands,NED,Spain,ESP,SouthAfrica-2010,0,0,0,1,Loss,Loss
128,2006-06-09,Group A,Germany,GER,Costa Rica,CRC,Germany-2006,0,0,4,2,Win,Win
129,2006-06-09,Group A,Poland,POL,Ecuador,ECU,Germany-2006,0,0,0,2,Loss,Loss
130,2006-06-10,Group B,England,ENG,Paraguay,PAR,Germany-2006,0,0,1,0,Win,Win
131,2006-06-10,Group B,Trinidad and Tobago,TRI,Sweden,SWE,Germany-2006,0,0,0,0,Draw,Draw
132,2006-06-10,Group C,Argentina,ARG,Côte d'Ivoire,CIV,Germany-2006,0,0,2,1,Win,Win
133,2006-06-11,Group D,Mexico,MEX,IR Iran,IRN,Germany-2006,0,0,3,1,Win,Win
134,2006-06-11,Group D,Angola,ANG,Portugal,POR,Germany-2006,0,0,0,1,Loss,Loss
135,2006-06-12,Group F,Australia,AUS,Japan,JPN,Germany-2006,0,0,3,1,Win,Win
136,2006-06-12,Group E,USA,USA,Czech Republic,CZE,Germany-2006,0,0,0,3,Loss,Loss
137,2006-06-12,Group E,Italy,ITA,Ghana,GHA,Germany-2006,0,0,2,0,Win,Win
138,2006-06-13,Group G,Korea Republic,KOR,Togo,TOG,Germany-2006,0,0,2,1,Win,Win
139,2006-06-13,Group G,France,FRA,Switzerland,SUI,Germany-2006,0,0,0,0,Draw,Draw
140,2006-06-13,Group F,Brazil,BRA,Croatia,CRO,Germany-2006,0,0,1,0,Win,Win
141,2006-06-14,Group H,Spain,ESP,Ukraine,UKR,Germany-2006,0,0,4,0,Win,Win
142,2006-06-14,Group H,Tunisia,TUN,Saudi Arabia,KSA,Germany-2006,0,0,2,2,Draw,Draw
143,2006-06-14,Group A,Germany,GER,Poland,POL,Germany-2006,0,0,1,0,Win,Win
144,2006-06-15,Group A,Ecuador,ECU,Costa Rica,CRC,Germany-2006,0,0,3,0,Win,Win
145,2006-06-15,Group B,England,ENG,Trinidad and Tobago,TRI,Germany-2006,0,0,2,0,Win,Win
146,2006-06-15,Group B,Sweden,SWE,Paraguay,PAR,Germany-2006,0,0,1,0,Win,Win
147,2006-06-16,Group C,Netherlands,NED,Côte d'Ivoire,CIV,Germany-2006,0,0,2,1,Win,Win
148,2006-06-16,Group D,Mexico,MEX,Angola,ANG,Germany-2006,0,0,0,0,Draw,Draw
149,2006-06-17,Group D,Portugal,POR,IR Iran,IRN,Germany-2006,0,0,2,0,Win,Win
150,2006-06-17,Group E,Czech Republic,CZE,Ghana,GHA,Germany-2006,0,0,0,2,Loss,Loss
151,2006-06-17,Group E,Italy,ITA,USA,USA,Germany-2006,0,0,1,1,Draw,Draw
152,2006-06-18,Group F,Japan,JPN,Croatia,CRO,Germany-2006,0,0,0,0,Draw,Draw
153,2006-06-18,Group F,Brazil,BRA,Australia,AUS,Germany-2006,0,0,2,0,Win,Win
154,2006-06-18,Group G,France,FRA,Korea Republic,KOR,Germany-2006,0,0,1,1,Draw,Draw
155,2006-06-19,Group G,Togo,TOG,Switzerland,SUI,Germany-2006,0,0,0,2,Loss,Loss
156,2006-06-19,Group H,Saudi Arabia,KSA,Ukraine,UKR,Germany-2006,0,0,0,4,Loss,Loss
157,2006-06-19,Group H,Spain,ESP,Tunisia,TUN,Germany-2006,0,0,3,1,Win,Win
